observation_date,CP
1986-07-01,170.904
1986-10-01,177.255
1987-01-01,191.686
1987-04-01,220.614
1987-07-01,235.711
1987-10-01,243.661
1988-01-01,252.224
1988-04-01,266.622
1988-07-01,265.879
1988-10-01,278.787
1989-01-01,278.613
1989-04-01,273.165
1989-07-01,262.833
1989-10-01,263.000
1990-01-01,272.800
1990-04-01,285.023
1990-07-01,289.176
1990-10-01,288.348
1991-01-01,299.498
1991-04-01,304.593
1991-07-01,310.435
1991-10-01,316.101
1992-01-01,329.803
1992-04-01,344.556
1992-07-01,328.651
1992-10-01,336.054
1993-01-01,334.638
1993-04-01,349.005
1993-07-01,362.106
1993-10-01,382.444
1994-01-01,413.269
1994-04-01,427.525
1994-07-01,449.480
1994-10-01,463.129
1995-01-01,477.546
1995-04-01,501.314
1995-07-01,509.306
1995-10-01,516.952
1996-01-01,537.204
1996-04-01,540.290
1996-07-01,537.278
1996-10-01,550.942
1997-01-01,564.382
1997-04-01,584.518
1997-07-01,608.221
1997-10-01,611.944
1998-01-01,539.192
1998-04-01,538.408
1998-07-01,535.273
1998-10-01,519.082
1999-01-01,552.462
1999-04-01,568.577
1999-07-01,569.275
1999-10-01,590.992
2000-01-01,565.043
2000-04-01,559.322
2000-07-01,554.170
2000-10-01,533.362
2001-01-01,562.885
2001-04-01,581.778
2001-07-01,532.108
2001-10-01,512.713
2002-01-01,558.468
2002-04-01,614.559
2002-07-01,669.481
2002-10-01,742.298
2003-01-01,739.460
2003-04-01,742.624
2003-07-01,785.034
2003-10-01,840.165
2004-01-01,954.777
2004-04-01,997.169
2004-07-01,1042.501
2004-10-01,1045.719
2005-01-01,1266.416
2005-04-01,1292.727
2005-07-01,1339.203
2005-10-01,1407.538
2006-01-01,1433.381
2006-04-01,1472.804
2006-07-01,1495.335
2006-10-01,1452.347
2007-01-01,1384.400
2007-04-01,1462.488
2007-07-01,1409.668
2007-10-01,1432.950
2008-01-01,1325.635
2008-04-01,1348.013
2008-07-01,1284.391
2008-10-01,773.270
2009-01-01,1125.916
2009-04-01,1199.363
2009-07-01,1382.393
2009-10-01,1499.252
2010-01-01,1570.962
2010-04-01,1560.780
2010-07-01,1646.527
2010-10-01,1647.500
2011-01-01,1513.837
2011-04-01,1580.148
2011-07-01,1592.155
2011-10-01,1671.585
2012-01-01,1936.487
2012-04-01,1860.118
2012-07-01,1878.552
2012-10-01,1847.960
2013-01-01,1831.269
2013-04-01,1823.848
2013-07-01,1862.618
2013-10-01,1913.254
2014-01-01,1848.159
2014-04-01,1952.580
2014-07-01,2011.030
2014-10-01,1977.683
2015-01-01,1877.034
2015-04-01,1898.930
2015-07-01,1842.986
2015-10-01,1746.728
2016-01-01,1805.898
2016-04-01,1865.417
2016-07-01,1857.546
2016-10-01,1926.839
2017-01-01,2045.666
2017-04-01,2019.850
2017-07-01,2061.502
2017-10-01,1864.830
2018-01-01,1986.985
2018-04-01,2063.283
2018-07-01,2014.346
2018-10-01,2015.959
2019-01-01,2045.140
2019-04-01,2059.292
2019-07-01,2087.795
2019-10-01,2120.925
2020-01-01,2003.544
2020-04-01,1858.309
2020-07-01,2556.227
2020-10-01,2429.379
2021-01-01,2683.406
2021-04-01,2984.500
2021-07-01,2972.607
2021-10-01,2951.199
2022-01-01,2926.606
2022-04-01,3156.677
2022-07-01,3051.963
2022-10-01,2891.819
2023-01-01,3147.593
2023-04-01,3175.760
2023-07-01,3291.110
2023-10-01,3354.444
2024-01-01,3393.103
2024-04-01,3468.719
2024-07-01,3443.994
2024-10-01,3689.460
2025-01-01,3335.780
2025-04-01,3355.897
2025-07-01,3591.344
2025-10-01,3792.207
2026-01-01,3917.196
